ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
302,คลอริเนเทค แคมพีน,CHLORINATED  CAMPHENE,8001-35-2
303,คลอร์มีควอท คลอไรด์,CHLORMEQUAT CHLORIDE,999-81-5
304,กรดคลอโรอะซีติค,CHLOROACETIC  ACID,79-11-8
305,คลอโรอะซีโตไนไตรล์,CHLOROACETONITRILE,107-14-2
306,คลอโรอะซีติล คลอไรด์,CHLOROACETYL  CHLORIDE,79-04-9
307,เอส-2-คลอโรอัลลิล (ไดเอทธิล) ไดไธโอคาร์บาเมท,S-2-CHLOROALLYL (DIETHYL)  DITHIOCARBAMATE,95-06-7
308,คลอโรอะนิลีน (โมโน- ได- ไตร-),"CHLOROANILINE (mono-, di-, tri-)",27134-26-5
309,2-คลอโรเบนซัลดีไฮด์ 2-,CHLOROBENZALDEHYDE,89-98-5
310,ออโท-คลอโรเบนซัลดีไฮด์ o-,CHLOROBENZALDEHYDE,89-98-5
311,คลอโรเบนซีน,CHLOROBENZENE,108-90-7
312,ออโท-คลอโรเบนซิลิดีนมาโลไนไตรล์ o-,CHLOROBENZILIDENE  MALONITRILE,2698-41-1
313,2-คลอโรเบนโซไนไตรล์ 2-,CHLOROBENZONITRILE,873-32-5
314,บิส (4-คลอโรเบนโซอิล) เพอร์ออกไซด์,BIS-(4-CHLOROBENZOYL)  PEROXIDE,94-17-7
315,4-คลอโรเบนโซอิล เพอร์ออกไซด์ 4-,CHLOROBENZOYL  PEROXIDE,94-17-7
316,"2-คลอโรบิวตะ-1, 3-ไดอีน 2-","CHLOROBUTA-1, 3-DIENE",126-99-8
317,1-คลอโรบิวเทน 1-,CHLOROBUTANE,109-69-3
318,4-คลอโรบิวท์-2-อินอิล-3-คลอโรฟีนิลคาร์บาเมท 4-,CHLOROBUT-2-YNYL-3-CHLOROPHENYLCARBAMATE,101-27-9
319,4-คลอโร-เมตา-ครีซอล 4-,CHLORO-m-CRESOL,59-50-7
320,"2-คลอโร-4-(1-ไซยาโน-1-เมทธิลเอทธิลอะมิโน) -6-เอทธิลอะมิโน-1,3,5-ไตรอะซีน 2-","CHLORO-4-(1-CYANO-1-METHYLETHYLAMINO)-6- ETHYLAMINO-1,3,5-TRIAZINE 21725-46-2",-
321,"2-คลอโร-1-(2,4-ไดคลอโรฟีนิล) ไวนิล ไดเอทธิล ฟอสเฟต 2-","CHLORO-1-(2,4-DICHLOROPHENYL) VINYL DIETHYL  PHOSPHATE",470-90-6
322,2-คลอโร-2-ไดเอทธิลคาร์บาโมอิล-1- เมทธิลไวนิลไดเมทธิล ฟอสเฟต 2-,CHLORO-2-DIETHYLCARBAMOYL-1- METHYLVINYLDIMETHYL  PHOSPHATE 13171-21-6,-
323,คลอโรไดฟลูออโรมีเทน,CHLORODIFLUOROMETHANE,75-45-6
324,ก๊าซทําความเย็น,R22 REFRIGERANT GAS R 22,75-45-6
325,2-คลอโร-4-ไดเมทธิลอะมิโน-6-เมทธิลไพริมิดีน 2-,CHLORO-4-DIMETHYLAMINO-6-METHYLPYRIMIDINE,535-89-7
326,คลอโรไดเมทธิล อีเธอร์,CHLORODIMETHYL  ETHER,107-30-2
327,"1-คลอโร-2,3-อีพอกซีโพรเพน 1-","CHLORO-2,3-EPOXYPROPANE",106-89-8
328,คลอโรอีเธน,CHLOROETHANE,75-00-3
329,2-คลอโรเอทธานอล 2-,CHLOROETHANOL,107-07-3
330,บิส (2-คลอโรเอทธิล) อีเธอร์,BIS (2-CHLOROETHYL)  ETHER,111-44-4
331,เกลือ 2-คลอโรเอทธิลไตรเมทธิล แอมโมเนียม คลอไรด์ 2-,CHLOROETHYLTRIMETHYL  AMMONIUM CHORIDE,999-81-5
332,คลอโรฟอร์ม,CHLOROFORM,67-66-3
333,คลอโรฟอร์มิค แอซิค บิวทิล เอสเทอร์,CHLOROFORMIC  ACID BUTYL ESTER,592-34-7
334,คลอโรฟอร์มิค แอซิค โพรพิลเอสเทอร์,CHLOROFORMIC  ACID  PROPYL ESTER,109-61-5
335,2-คลอโร-เอ็น-ไอโซโพรพิลอะเซตานิไลด์ 2-,CHLORO-N-ISOPROPYLACETANILIDE,1918-16-7
336,คลอโรมีเธน,CHLOROMETHANE,74-87-3
337,"3-(3-คลอโร-4-เมทธอกซีพีนิล)-1,1-ไดเมทธิลยูเรีย 3-(3-","CHLORO-4-METHOXYPHENYL)-1,1-DIMETHYLUREA",19937-59-8
338,"ออโท-(3-คลอโร-4-เมทธิลคูมาริน-7-อิล) โอ,โอ-ไดเอทธิล ฟอสฟอโรไธโอเอท o-(3-","CHLORO-4-METHYLCOUMARIN-7-YL) O,O-DIETHYL PHOSPHOROTHIOATE 56-72-4",-
339,4-คลอโร-3-เมทธิลฟีนอล 4-,CHLORO-3-METHYLPHENOL,59-50-7
340,กรด 4-คลอโร-2-เมทธิลฟีนอกซีอะซีติค (เอ็มซีพีเอ) 4-,CHLORO-2-METHYLPHENOXYACETIC ACID (MCPA),94-74-6
341,กรด 4-(4-คลอโร-2-เมทธิลฟีนอกซี) บิวไทริค (เอ็มซีพีบี) 4-(4-,CHLORO-2-METHYLPHENOXY)  BUTYRIC ACID (MCPB),94-81-5
342,กรด 2-(4-คลอโร-2-เมทธิลฟีนอกซี) โพรพาโนอิค (เอ็มซีพีพี) 2-(4-,CHLORO-2-METHYLPHENOXY) PROPANOIC ACID (MCPP) 7085-19-0,-
343,3-คลอโร-2-เมทธิลโพรพีน 3-,CHLORO-2-METHYLPROPENE,563-47-3
344,คลอโรไนโตรอะนิลีน,CHLORONITROANILINE,41587-36-4
345,4-คลอโร-3-ไนโตรอะนิลีน  4-,CHLORO-3-NITROANILINE,635-22-3
346,1-คลอโร-4-ไนโตรเบนซีน 1-,CHLORO-4-NITROBENZENE,100-00-5
347,พารา-คลอโรไนโตรเบนซิน p -,CHLORONITROBENZENE,100-00-5
348,"โอ-(3-คลอโร-4-ไนโตรพีนิล) โอ,โอ- ไดเมทธิลฟอสฟอโรไธโอเอท","O-(3-CHLORO-4-NITROPHENYL) O,O- DIMETHYLPHOSPHOROTHIOATE 500-28-7",-
349,"โอ-4-คลอโร-3-ไนโตรพีนิล โอ,โอ- ไดเมทธิล ฟอสฟอโรไธโอเอท","O-4-CHLORO-3-NITROPHENYL O,O-DIMETHYL PHOSPHOROTHIOATE 5826-76-6",-
350,1-คลอโร-1-ไนโตรโพรเพน 1-,CHLORO-1-NITROPROPANE,600-25-9
351,2- คลอโรเพนเทน 2-,CHLOROPENTANE,625-29-6
352,3- คลอโรเพนเทน 3-,CHLOROPENTANE,616-20-6
353,คลอโรเพนตะฟลูออโรอีเธน(,R115) CHLOROPENTAFLUOROETHANE (R115),76-15-3
354,คลอโรฟาซิโนน,CHLOROPHACINONE,3691-35-8
355,คลอโรฟีนอล,CHLOROPHENOL,25167-80-0
356,กรด 4-คลอโรฟีนอกซีอะซีติค 4-,CHLOROPHENOXYACETIC ACID,122-88-3
357,โอโอ-บิส (4-คลอโรฟีนิล) เอ็น อะเซติมิโดอิล ฟอสฟอโรอะมิโดไธโอเอท,"O,O-BIS( 4-CHLOROPHENYL) N-ACETIMIDOYL PHOSPHOROAMIDOTHIOATE 4104-14-7",-
358,โอ-4-(4-คลอโรฟินิลอะโซ) ฟีนิล โอโอ-ไดเมทธิล ฟอสฟอโรไธโอเอท,O-4-(4-CHLOROPHENYLAZO) PHENYL OO-DIMETHYL PHOSPHOROTHIOATE 5834-96-8,-
359,4-คลอโรฟีนิล เบนซีนซัลโฟเนท 4-,CHLOROPHENYL  BENZENESULPHONATE,80-38-6
360,"1,1-บิส (4-คลอโรฟีนิล) เอทธานอล 1,1-",BIS (4-CHLOROPHENYL)  ETHANOL,80-06-8
361,4-(2-คลอโรฟีนิลไฮดราโซโน)-3-เมทธิลไอซอกซาซอล-5-โอน 4-(2-,CHLOROPHENYLHYDRAZONO)-3-METHYLISOXAZOL-5-ONE,5707-69-7
362,3-(4-คลอโรฟีนิล)-1-เมทธ็อกซี-1-เมทธิลยูเรีย 3-(4-,CHLOROPHENYL)-1-METHOXY-1-METHYLUREA,1746-81-2
363,"2-(2-(4-คลอโรฟีนิล)-2-ฟีนิลอะซีติล) อินเดน-1,3-ไดโอน 2-(2-(4-","CHLOROPHENYL)-2-PHENYLACETY) INDAN-1,3-DIONE 3691-35-8",-
364,"เอส-(4-คลอโรฟีนิลไธโอเมทธิล) โอ,โอ-ไดเอทธิล ฟอสฟอโรไดไธโอเอท","S-(4-CHLOROPHENYLTHIOMETHYL) O,O-DIETHYL PHOSPHORODITHIOATE 786-19-6",-
365,"2-คลอโร-1-พธาลิมิโดเอทธิล โอ,โอ-ไดเอทธิล ฟอสฟอโรไดไธโอเอท 2-","CHLORO-1-PHTHALIMIDOETHYL O,O-DIETHYL PHOSPHORODITHIOATE 10311-84-9",-
366,คลอโรพรีน,CHLOROPRENE,126-99-8
367,1- คลอโรโพรเพน 1-,CHLOROPROPANE,540-54-5
368,3-คลอโรโพรพีน 3-,CHLOROPROPENE,107-05-1
369,กรด 2-คลอโรโพรพิโอนิค 2-,CHLOROPROPIONIC  ACID,598-78-7
370,ออโท-คลอโรสไตรีน o-,CHLOROSTYRENE,2039-87-4
371,กรดคลอโรซัลโพนิค,CHLOROSULPHONIC  ACID,7790-94-5
372,2-คลอโรโทลูอีน 2-,CHLOROTOLUENE,95-49-8
373,"เอ็น2-(4-คลอโร-ออโท-โทลิล)-เอ็น1,เอ็น1,ไดเมทธิลฟอร์มามิดีน","N2-(4-CHLORO-o-TOLYL)-N1, N1, DIMETHYLFORMAMIDINE",6164-98-3
374,"เอ็น2-(4-คลอโร-ออโท-โทลิล)-เอ็น1, เอ็น1,ไดเมทธิลฟอร์มามิดีน ไฮโดรคลอไรด์","N2-(4-CHLORO-o-TOLYL)-N1, N1, DIMETHYLFORMAMIDINE HYDROCHLORIDE 19750-95-9",-
375,คลอร์โฟเนียม คลอไรด์,CHLORPHONIUM CHLORIDE,115-78-6
376,คลอร์ไพริฟอส,CHLORPYRIFOS,2921-88-2
377,คลอร์ไธอะมีด,CHLORTHIAMID,1918-13-4
378,คลอร์ไธออน,CHLORTHION,500-28-7
379,โคล  ทาร์,COAL TAR,101794-74-5
380,"โลหะโคบอลท์,โคบอลท์ออกไซด์,โคบอลท์คาร์บอเนท, โคบอลท์ซัลไฟด์, ลักษณะผง","COBALT METAL, OXIDES, CARBONATES, SULPHIDES, as powders",7440-48-4
381,ฝุ่นฝ้าย,COTTON DUST,-
382,คริมิดีน,CRIMIDINE,535-89-7
383,ไซยานูริค คลอไรด์,CYANURIC  CHLORIDE,108-77-0
384,"ไซโคลบิวเทน-1, 3-ไดโอน","CYCLOBUTANE-1, 3-DIONE",15506-53-3
385,ไซโคลเฮกเซน,CYCLOHEXANE,110-82-7
386,"ไซโคลเฮกเซน-1, 2-ไดคาร์บอกซีลิค แอนไฮไดรด์","CYCLOHEXANE-1, 2-DICARBOXYLIC ANHYDRIDE",85-42-7
387,ไซยานาไมด์,CYANAMIDE,420-04-2
388,ไซโคลเฮกซานอล,CYCLOHEXANOL,108-93-0
389,ไซโคลเฮกซาโนน,CYCLOHEXANONE,108-94-1
390,ไซโคลเฮกซาโนน ไฮโดรเพอร์ออกไซด์,CYCLOHEXANONE  HYDROPEROXIDE,766-07-4
391,ไซโคลเฮกซาโนน เพอร์ออกไซด์,CYCLOHEXANONE  PEROXIDE,12262-58-7
392,"ไซโคลเฮก-4-อีน-1, 2-ไดคาร์บอกซีลิค แอนไฮไดรด์","CYCLOHEX-4-ENE-1, 2-DICARBOXYLIC  ANHYDRIDE",85-43-8
393,ไซโคลเฮกซิล อะครีเลท,CYCLOHEXYL  ACRYLATE,3066-71-5
394,ไซโคลเฮกซิลอะมีน,CYCLOHEXYLAMINE,108-91-8
395,"2-ไซโคลเฮกซิล-4, 6-ไดไนโตรฟีนอล 2-","CYCLOHEXYL-4, 6-DINITROPHENOL",131-89-5
396,"3-ไซโคล-ออคทิล-1, 1-ไดเมทธิลยูเรีย 3-","CYCLO-OCTYL-1, 1-DIMETHYLUREA",2163-69-1
397,ไซโคลเพนเทน,CYCLOPENTANE,287-92-3
398,"ไซโคลเพนเทน-1,2,3,4-เตตระคาร์บอกซีลิค ไดแอนไฮไดรด์","CYCLOPENTATE-1,2,3,4-TETRACARBOXYLIC  DIANHYDRIDE",6053-68-5
399,ไซโคลเพนทะโนน,CYCLOPENTANONE,120-92-3
400,ไซโคลโพรเพน,CYCLOPROPANE,75-19-4
401,ไซคลูรอน,CYCLURON,2163-69-1
402,ไซเฮกซะติน,CYHEXATIN,13121-70-5
403,2-ไซยาโนโพรพาน-2-ออล (อะซีโตน ไซยาโนไฮดริน) 2-,CYANOPROPAN-2-OL (ACETONE   CYANOHYDRIN),75-86-5
404,ไซยานโธเอท,CYANTHOATE,3734-95-0
405,ไซโคลเฮกซิไมด์,CYCLOHEXIMIDE,66-81-9
406,ไซโคลเตตระเมทธิลีนเตตระไนตรามีน,CYCLOTETRAMETHYLENETETRANITRAMINE,2691-41-0
407,ไซโคลไตรเมทธิลีน ไตรไนตระมีน,CYCLOTRIMETHYLENE   TRINITRAMINE,121-82-4
408,ดิมิทอน,DEMETON,8065-48-3
409,"3-(3,4-ไดคลอโรพีนิล)-1,1-ไดเมทธิลยูเรีย 3-(3,4-","DICHLOROPHENYL)-1,1-DIMETHYLUREA",330-54-1
410,"3-(3,4-ไดคลอโรพีนิล)-1-เมทธอกซี-1-เมทธิลยูเรีย 3-(3,4-",DICHLOROPHENYL)-1-METHOXY-1-METHYLUREA,330-55-2
411,"เอส-(2,5-ไดคลอโรฟีนิลไธโอเมทธิล) โอ,โอ-ไดเอทธิล ฟอสฟอโรไดไธโอเอท","S-(2,5-DICHLOROPHENYLTHIOMETHYL) O,O-DIETHYL PHOSPHORODITHIOATE 2275-14-1",-
412,ไดคลอโรโพรพีน,DICHLOROPROPENE,26952-23-8
413,"1,1-ไดคลอโรโพรพีน 1,1-",DICHLOROPROPENE,563-58-6
414,"1,2-ไดคลอโรโพรพีน 1,2-",DICHLOROPROPENE,563-54-2
415,"1,3-ไดคลอโรโพรพีน 1,3-",DICHLOROPROPENE,542-75-6
416,"2,3-ไดคลอโรโพรพีน 2,3-",DICHLOROPROPENE,78-88-6
417,"3,3-ไดคลอโรโพรพีน 3,3-",DICHLOROPROPENE,563-57-5
418,"3',4'-ไดคลอโรโพรพิโอนอะนิไลด์ 3',4'-",DICHLOROPROPIONANILIDE,709-98-8
419,"2,4-ไดคลอโร-แอลฟา (ไพริมิดิน-5-อิล) เบนซไฮ ดริล แอลกอฮอล์ 2,4-",DICHLORO-ALPHA (PYRIMIDIN-5-YL) BENZHYDRYL ALCOHOL,26766-27-8
420,"2,6-ไดคลอโรไธโอเบนซะไมด์ 2,6-",DICHLOROTHIOBENZAMIDE,1918-13-4
421,"แอลฟา, แอลฟา-ไดคลอโรโทลูอีน","ALPHA, ALPHA-DICHLOROTOLUENE",98-87-3
422,"ไดคลอโร-1,3,5-ไตรอะซีนไตรโอน","DICHLORO-1,3,5-TRIAZINETRIONE",2782-57-2
423,"เกลือโปแตสเซียมของไดคลอโร-1,3,5-ไตรอะซีนไตรโอน","DICHLORO-1,3,5-TRIAZINETRIONE, POTASSIUM SALT",2244-21-5
424,"2,2-ไดคลอโรไวนิล ไดเมทธิล ฟอสเฟต 2,2-",DICHLOROVINYLDIMETHYL PHOSPHATE,62-73-7
425,"2,2-ไดคลอโรไวนิล-2-เอทธิลซัลไฟนิลเอทธิล เมทธิลฟอสเฟต 2,2-",DICHLOROVINYL-2-ETHYLSULPHINYLETHYL METHYLPHOSPHATE 7076-53-1,-
426,ไดคลอร์พรอพ,DICHLORPROP,120-36-5
427,ไดคลอร์พรอพ (เกลือ),DICHLORPROP (SALTS),-
428,ได-แอลฟา-คูมิล เปอร์ออกไซด์,DI - alpha - CUMYL PEROXIDE,80-43-3
429,"2,3-ไดไซยาโน-1,4-ไดไธอะ-แอนธราควิโนน 2,3-","DICYANO-1,4-DITHIA-ANTHRAQUINONE",3347-22-6
430,ไดไซโคลเฮกซิลแอมโมเนียม ไนไตรท์,DICYCLOHEXYLAMMONIUM NITRITE,3129-91-7
431,ไดอะไลฟอส,DIALIFOS,10311-84-9
432,ไดอะโซไดไนโตรฟีนอล,DIAZODINITROPHENOL,87-31-0
433,ไดเบนซิล เพอร์ออกซีไดคาร์บอเนท (ความเข้มข้น>=90%),DIBENZYL  PEROXYDICARBONATE  (CONCENTRATION>=90%),2144-45-8
434,"1,2-ไดโบรโมอีเธน (เอทธิลลีนไดโบรไมด์) 1,2-",DIBROMOETHANE ( ETHYLENE DIBROMIDE),106-93-4
435,"1-(3,4-ไดคลอโรฟีนิลอิมิโน) ไธโอเซมิคาร์บาไซด์ 1-(3,4-",DICHLOROPHENYLIMINO)THAIOSEMICARBAZIDE,5836-73-7
436,"2,4-ไดเมทธิล-1,3-ไดไธโอเลน-2-คาร์บอนซัลดีไฮด์ -โอ- เมทธิลคาร์บาโมอิลออกซิม 2,4-","DIMETHY-1,3-DITHIOLANE-2-CARBOXALDEHYDE - O- METHYLCABAMOYLOXIME 26419-73-8",-
437,ไดเอทธิลีน ไกลคอล ไดไนเตรท,DIETHYLENE  GLYCOL  DINITRATE,693-21-0
438,ไดเอทธิล เพอร์ออกซีไดคาร์บอเนท(ความเข้มข้น>=30%),DIETHYL  PEROXYDICARBONATE (CONCENTRATION>=30%),14666-78-5
439,โอโอ-ไดเอทธิล-เอส-(โพรพิลไธโอเมทธิล) ฟอสฟอโรไดไธโอเอท,"O,O-DIETHYL-S-(PROPYLTHIOMETHYL)  PHOSPHOROTHIOATE",3309-68-0
440,โอโอ-ไดเอทธิล เอส-เอทธิลไธโอ เมทธิล ฟอสฟอโรไธโอเอท,"O,O-DIETHYL  S-ETHYTHIOMETHYL  PHOSPHORODITHIOATE",2600-69-3
441,โอโอ-ไดเอทธิล เอส-เอทธิลซัลไฟนิลเมทธิลฟอสฟอโรไธโอเอท,"O,O-DIETHYL  S-ETHYLSULPHINYLMETHYL   PHOSPHOROTHIOATE",2497-07-6
442,โอโอ-ไดเอทธิล เอส-ไอโซโพรพิลไธโอเมทธิล ฟอสฟอโรไธโอเอท,"O,O-DIETHYL  S-ISOPROPYLTHIOMETHYL   PHOSPHORODITHIOATE",78-52-4
443,"2,2-ไดไฮโดรเพอร์ออกซีโพรเพน (ความเข้มข้น>=80%) 2,2-",DIHYDROPEROXYPROPANE (CONCENTRATION>=80%),2614-76-8
444,ไดมีฟอกซ์,DIMEFOX,115-26-4
445,ไดเมทธิลคาร์บาโมอิล คลอไรด์,DIMETHYLCARBAMOYL   CHLORIDE,79-44-7
446,ไดเมนทิลไนโตรซามีน,DIMETHYLNITROSAMINE,62-75-9
447,กรดไดเมทธิล ฟอสฟอรามิโด ไซยานิดิค,DIMETHYL   PHOSPHORAMIDOCYANIDIC   ACID,63917-41-9
448,"2,4-ไดไนโตรฟีนอล 2, 4 -",DINITROPHENOL 51 - 28 - 5,-
449,เกลือของไดไนโตรฟีนอล,"DINITROPHENOL,  SALTS",-
450,ได-ไอโซบิวไทริล เพอร์ออกไซด์(ความเข้มข้น>=50%),DI-ISOBUTYRYL  PEROXIDE (CONCENTRATION>=50%),3437-84-1
451,ได-เอ็น-โพรพิล เพอร์ออกซีไดคาร์บอนเนท (ความเข้มข้น>=80%),DI-N-PROPYL  PEROXYDICARBONATE (CONCENTRATION>=80%) 16066-38-9,-
452,ไดฟาซิโนน,DIPHACINONE,82-66-6
453,ไดซัลโฟทอน,DISULFOTON,298-04-4
454,"กรด 2, 4-ไดคลอโรฟีนอกซีอะซีติก หรือ 2,4-ดี 2, 4-","DICHLOROPHENOXYACETIC ACID or 2,4-D",94-75-7
455,"เกลือและเอสเทอร์ของกรด 2, 4-ไดคลอโรฟีนอกซีอะซีติก 2, 4-",DICHLOROPHENOXYACETIC ACID (SALTS AND ESTERS),-
456,ดาโซเมท,DAZOMET,533-74-4
457,"กรด 4-(2, 4-","DICHLOROPHENOXY) BUTYRIC 4-(2, 4-DICHLOROPHENOXY) BUTYRIC ACID",94-82-6
458,"เกลือของกรด 4-(2, 4-","DICHLOROPHENOXY) BUTYRIC 4-(2, 4-DICHLOROPHENOXY) BUTYRIC ACID (SALTS)",-
459,ดีดีที,DDT,50-29-3
460,"เดคะคลอโรเพนตะไซโคล[5.2.1.0(2,6).0(3,9).0(5),(8)] ดีแคน-4-โอน","DECACHLOROPENTACYCLO [5.2.1.0(2,6).0(3,9).0(5),(8)] DECAN-4-ONE 143-50-0",-
461,ดีคาร์โบฟิวแรน,DECARBOFURAN,1563-67-3
462,ดีมีทอน-โอ,DEMETON-O,298-03-3
463,ดีมีทอน-เอส,DEMETON-S,126-75-0
464,ดีมีทอน-โอ-เมทธิล,DEMETON-O-METHYL,867-27-6
465,ดีมีทอน-เอส-เมทธิล,DEMETON-S-METHYL,919-86-8
466,ดีมีทอน-เอส-เมทธิล ซัลโฟน,DEMETON-S-METHYL SULPHONE,17040-19-6
467,เดสเมทรีน,DESMETRYNE,1014-69-3
468,ไดอะซีโตน แอลกอฮอล์,DIACETONE ALCOHOL,123-42-2
469,"เอ็น, เอ็น'-ไดอะซีติลเบนซิดีน","N, N'-DIACETYLBENZIDINE",613-35-4
470,ได-อัลเลท,DI-ALLATE,2303-16-4
471,"เอ็น, เอ็น-ไดอัลลิลคลอโรอะเซตาไมด์","N, N-DIALLYLCHLOROACETAMIDE",93-71-0
472,ไดอัลลิล พธาเลท,DIALLYL PHTHALATE,131-17-9
473,"4, 4'-ไดอะมิโนไบฟีนิล 4, 4'-",DIAMINOBIPHENYL,92-87-5
474,"4, 4'-ไดอะมิโนไดฟีนิลมีเธน 4, 4'-",DIAMINODIPHENYLMETHANE,101-77-9
475,"1,2-ไดอะมิโนอีเธน 1,2-",DIAMINOETHANE,107-15-3
476,"2,4-ไดอะมิโนโทลูอีน ซัลเฟท 2,4-",DIAMINOTOLUENE SULPHATE,-
477,"2,5-ไดอะมิโนโทลูอีน ซัลเฟท 2,5-",DIAMINOTOLUENE SULFATE,615-50-9
478,"เอส (4,6-ไดอะมิโน-1,3,5-ไตรอะซิน-2-อิลเมทธิล)โอ,โอ- ไดเมทธิลฟอสฟอโรไดไธโอเอท","S-(4,6-DIAMINO-1,3,5-TRIAZIN-2-YLMETHYL) O,O-DIMETHYL PHOSPHORODITHIOATE 78-57-9",-
479,ออโท-ไดอะนิซิดีน o-,DIANISIDINE,119-90-4
480,เกลือของ ออโท-ไดอะนิซิดีน o-,DIANISIDINE (SALTS),-
481,ไดอาร์เซนิค ไตรออกไซด์,DIARSENIC TRIOXIDE,1327-53-3
482,"3,6-ไดอะซาออคเทนเอทธิลีนไดอะมิน 3,6-",DIAZAOCTANETHYLENEDIAMIN,112-24-3
483,ไดอะซีนอน,DIAZINON 333.-41-5,-
484,ไดเบนโซอิล เพอร์ออกไซด์,DIBENZOYL PEROXIDE,94-63-0
485,"1,2-ไดโบรโม-3-คลอโรโพรเพน 1,2-",DIBROMO-3-CHLOROPROPANE,96-12-8
486,"โอ-1,2-ไดโบรโม-2, 2-ไดคลอโรเอทธิล ไดเมทธิล ฟอสเฟท","O-1,2-DIBROMO-2, 2-DICHLOROETHYL DIMETHYL PHOSPHATE",300-76-5
487,"3,5-ไดโบรโม-4-ไฮดรอกซีเบนซัลดีไฮด์ โอ- (2,4-ไดไนโตรฟีนิล) ออกซีม 3,5-","DIBROMO-4-HYDROXYBENZALDEHYDE O-(2,4- DINITROPHENYL) OXIME 13181-17-4",-
488,"3,5-ไดโบรโม-4-ไฮดรอกซี เบนโซไนไตรล์ 3,5-",DIBROMO-4-HYDROXY BENZONITRILE,1689-84-5
489,ไดโบรโมมีเธน,DIBROMOMETHANE,74-95-3
490,ได-เอ็น-บิวทิลอะมีน,DI-n-BUTYLAMINE,111-92-2
491,ได-เซค-บิวทิลอะมีน,DI-sec-BUTYLAMINE,626-23-3
492,ไดบิวทิล อีเธอร์,DIBUTYL ETHER,142-92-1
493,ได-เอ็น-บิวทิล อีเธอร์,DI-n-BUTYL ETHER,142-92-1
494,ได-เทอร์ท-บิวทิล เพอร์ออกไซด์,DI-tert-BUTYL PEROXIDE,110-05-4
495,ไดแคมบา,DICAMBA,1918-00-9
496,เกลือของไดแคมบา,DICAMBA (SALTS),-
497,ไดคลอเฟนไธออน,DICHLOFENTHION,97-17-6
498,ไดคลอฟลูอะนิด,DICHLOFLUANID,1085-98-9
499,ไดโคลน,DICHLONE,117-80-6
500,กรดไดคลอโรอะซีติค,DICHLOROACETIC ACID,79-43-6
501,ไดคลอโรอะซีติล คลอไรด์,DICHLOROACETYL CHLORIDE,79-36-7
502,"เอส-2, 3-ไดคลอโรอัลลิล ไดไอโซโพรพิลไธโอคาร์บาเมท","S-2, 3-DICHLOROALLYL DIISOPROPYLTHIOCARBAMATE",2303-16-4
503,"1,2-ไดคลอโรเบนซีน 1,2-",DICHLOROBENZENE,95-50-1
504,ออโท-ไดคลอโรเบนซีน o-,DICHLOROBENZENE,95-50-1
505,"1,4-ไดคลอโรเบนซีน 1,4-",DICHLOROBENZENE,106-46-7
506,พารา-ไดคลอโรเบนซีน p-,DICHLOROBENZENE,106-46-7
507,"3,3'-ไดคลอโรเบนซิดีน 3,3'-",DICHLOROBENZIDINE,91-94-1
508,"เกลือของ 3,3'-ไดคลอโรเบนซิดีน 3,3'-",DICHLOROBENZIDINE (SALTS),-
509,"3,3'-ไดคลอโรไบพีนิล-4,4'-ไดอะมีน 3,3'-","DICHLOROBIPHENYL-4,4'-DIAMINE",91-94-1
510,"เกลือของ 3,3'-ไดคลอโรไบพีนิล-4,4'-อิลลีนไดอะมีน 3,3'-","DICHLOROBIPHENYL-4,4'-YLENEDIAMINE (SALTS)",-
511,"1,1-ไดคลอโรอีเธน 1,1-",DICHLOROETHANE,75-34-3
512,"1,2-ไดคลอโรอีเธน 1,2-",DICHLOROETHANE,107-06-2
513,"1,1-ไดคลอโรเอทธิลีน 1,1-",DICHLOROETHYLENE,75-35-4
514,"1,2-ไดคลอโรเอทธิลีน 1,2-",DICHLOROETHYLENE,540-59-0
515,"เอ็น-ไดคลอโรฟลูออโรเมทธิลไธโอ-เอ็น,เอ็น-ไดเมทธิล-เอ็น- พีนิลซัลฟาไมด์","N'-DICHLOROFLUOROMETHYLTHIO-N,N-DIMETHYL-N'- PHENYLSULPHAMIDE 1085-98-9",-
516,เอ็น-(ไดคลอโรฟลูออโรเมทธิลไธโอ) พธาลิไมด์,N-(DICHLOROFLUOROMETHYLTHIO) PHTHALIMIDE,719-96-0
517,กรดไดคลอโรโอโซไซยานูริค,DICHLOROISOCYANURIC  ACID,2782-57-2
518,เกลือโปแตสเซียมของกรดไดคลอโรไอโซไซยานูริค,DICHLOROISOCYANURIC ACID  POTASSIUM SALT,2893-78-9
519,เกลือโซเดียมของกรดไดคลอโรไอโซไซยานูริค,"DICHLOROISOCYANURIC ACID, SODIUM SALT 51580- 86-0",-
520,ไดคลอโรมีเธน,DICHLOROMETHANE,75-09-2
521,"กรด 3,6-ไดคลอโร-2-เมทธอกซีเบนโซอิค 3,6-",DICHLORO-2-METHOXYBENZOIC  ACID,1918-00-9
522,"2,2'-ไดคลอโร-4,4'-เมทธิลีนไดอะนิลีน 2,2'-","DICHLORO-4,4'-METHYLENEDIANILINE",101-14-4
523,"เกลือของ 2,2'-ไดคลอโร-4,4'-เมทธิลีนไดอะนิลีน 2,2'-","DICHLORO-4,4'-METHYLENEDIANILINE (SALTS)",-
524,"2,3-ไดคลอโร-1,4-แนพโธควิโนน 2,3-","DICHLORO-1,4-NAPHTHOQUINONE",117-80-6
